FIPS,Geographic Identifier,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Block Group,Total Population,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Average Household Size,Median Household Income (In 2019 Inflation Adjusted Dollars),Occupied Housing Units,Occupied Housing Units: 1 Room,Occupied Housing Units: 2 Rooms,Occupied Housing Units: 3 Rooms,Occupied Housing Units: 4 Rooms,Occupied Housing Units: 5 Rooms,Occupied Housing Units: 6 Rooms,Occupied Housing Units: 7 Rooms,Occupied Housing Units: 8 Rooms,Occupied Housing Units: 9 or More Rooms,Median Year Structure Built,Median Gross Rent,Owner-Occupied Housing Units
1.70E+11,15000US170318041051,Block Group 1,"Block Group 1, Census Tract 8041.05, Cook County, Illinois",il,150,0,ACSSF,11528,17,31,804105,1,1569,4.218491,4.189188,0.02930322,1569,89,89,103,111,35,154,209,249,264,168,79,19,1569,1188,0,0,325,0,14,42,2.87,140694,547,0,0,0,0,6,55,82,245,159,1980,,538
1.70E+11,15000US170318041052,Block Group 2,"Block Group 2, Census Tract 8041.05, Cook County, Illinois",il,150,0,ACSSF,11529,17,31,804105,2,1245,0.2882577,0.2882577,0,1245,60,75,115,109,71,112,148,170,202,126,42,15,1245,1200,0,0,37,0,0,8,3.06,128378,407,0,0,0,0,10,118,76,126,77,1974,,407
1.70E+11,15000US170318041053,Block Group 3,"Block Group 3, Census Tract 8041.05, Cook County, Illinois",il,150,0,ACSSF,11530,17,31,804105,3,1061,0.4601948,0.4601948,0,1061,27,59,92,55,96,118,57,178,170,139,70,0,1061,765,17,0,158,0,66,55,3.26,140114,325,0,0,0,0,0,11,52,134,128,1974,,315
1.70E+11,15000US170318041061,Block Group 1,"Block Group 1, Census Tract 8041.06, Cook County, Illinois",il,150,0,ACSSF,11531,17,31,804106,1,2122,0.4589639,0.4589639,0,2122,114,161,160,171,135,170,282,433,238,202,42,14,2122,1092,0,0,980,0,0,50,2.92,129875,726,0,0,0,81,63,127,139,112,204,1988,1788,670
1.70E+11,15000US170318041062,Block Group 2,"Block Group 2, Census Tract 8041.06, Cook County, Illinois",il,150,0,ACSSF,11532,17,31,804106,2,1522,0.3107462,0.3107462,0,1522,22,75,87,49,35,260,244,204,351,178,17,0,1522,1406,13,0,75,0,13,15,2.27,115179,671,0,0,17,190,134,100,87,53,90,1974,1497,546
1.70E+11,15000US170318041063,Block Group 3,"Block Group 3, Census Tract 8041.06, Cook County, Illinois",il,150,0,ACSSF,11533,17,31,804106,3,1478,0.3340367,0.3340367,0,1478,42,116,143,83,115,37,169,263,312,157,26,15,1478,858,0,0,488,0,46,86,2.75,147560,537,0,0,0,71,14,148,0,71,233,1989,1991,431
1.70E+11,15000US170318041064,Block Group 4,"Block Group 4, Census Tract 8041.06, Cook County, Illinois",il,150,0,ACSSF,11534,17,31,804106,4,1860,0.4361124,0.4361124,0,1860,188,79,86,38,128,282,237,81,384,211,67,79,1860,1505,24,0,119,0,0,212,2.46,75278,756,0,0,0,79,208,142,117,94,116,1972,,605
1.70E+11,15000US170318041081,Block Group 1,"Block Group 1, Census Tract 8041.08, Cook County, Illinois",il,150,0,ACSSF,11535,17,31,804108,1,1287,0.3288672,0.3288672,0,1287,46,45,72,52,87,364,286,114,100,82,24,15,1287,875,23,0,295,0,62,32,1.94,90952,664,15,45,206,191,74,45,47,14,27,1985,1422,234
1.70E+11,15000US170318041082,Block Group 2,"Block Group 2, Census Tract 8041.08, Cook County, Illinois",il,150,0,ACSSF,11536,17,31,804108,2,2644,0.13914,0.13914,0,2644,172,255,171,56,86,926,647,161,170,0,0,0,2644,800,179,21,1415,0,80,149,2.41,92313,1095,62,117,313,378,183,27,8,7,0,1978,1421,0
1.70E+11,15000US170318041091,Block Group 1,"Block Group 1, Census Tract 8041.09, Cook County, Illinois",il,150,0,ACSSF,11537,17,31,804109,1,1099,0.5318901,0.5318901,0,1099,63,42,102,55,27,87,95,239,187,118,34,50,1099,851,15,0,127,0,0,106,2.87,159200,342,0,0,0,0,24,51,43,60,164,1965,,312
1.70E+11,15000US170318041092,Block Group 2,"Block Group 2, Census Tract 8041.09, Cook County, Illinois",il,150,0,ACSSF,11538,17,31,804109,2,1694,0.3801365,0.3801365,0,1694,48,68,90,70,55,87,234,299,205,222,222,94,1694,1295,117,0,179,0,63,40,2.15,81000,734,52,27,63,152,84,47,81,74,154,1973,949,518
1.70E+11,15000US170318042011,Block Group 1,"Block Group 1, Census Tract 8042.01, Cook County, Illinois",il,150,0,ACSSF,11539,17,31,804201,1,2088,1.929102,1.88465,0.04445117,2088,75,221,86,182,110,113,309,267,420,167,77,61,2088,1898,0,0,110,0,0,80,2.71,150580,769,0,15,59,28,69,116,79,169,234,1958,1661,611
1.70E+11,15000US170318042012,Block Group 2,"Block Group 2, Census Tract 8042.01, Cook County, Illinois",il,150,0,ACSSF,11540,17,31,804201,2,3391,22.63226,22.00278,0.629472,3391,137,277,315,176,203,92,232,703,352,455,329,120,3391,1851,139,0,954,146,273,28,3.13,144107,1022,0,0,14,60,14,66,180,137,551,1987,1241,941
1.70E+11,15000US170318042013,Block Group 3,"Block Group 3, Census Tract 8042.01, Cook County, Illinois",il,150,0,ACSSF,11541,17,31,804201,3,2124,3.215845,2.998855,0.2169902,2124,62,172,305,83,39,59,296,485,323,195,84,21,2124,1444,0,0,624,0,0,56,3.21,127045,662,0,0,0,0,0,16,26,75,545,1985,,662
1.70E+11,15000US170318042014,Block Group 4,"Block Group 4, Census Tract 8042.01, Cook County, Illinois",il,150,0,ACSSF,11542,17,31,804201,4,1140,2.792439,2.743882,0.04855775,1140,34,90,212,49,68,18,86,138,156,223,66,0,1140,846,0,0,294,0,0,0,2.98,142750,382,0,0,0,0,0,65,42,30,245,1989,,382
1.70E+11,15000US170318042021,Block Group 1,"Block Group 1, Census Tract 8042.02, Cook County, Illinois",il,150,0,ACSSF,11543,17,31,804202,1,539,0.1568401,0.1568401,0,539,78,29,49,0,0,38,82,72,49,68,74,0,539,481,0,0,58,0,0,0,2.08,113542,259,0,55,48,9,0,26,32,16,73,1975,268,126
1.70E+11,15000US170318042022,Block Group 2,"Block Group 2, Census Tract 8042.02, Cook County, Illinois",il,150,0,ACSSF,11544,17,31,804202,2,3337,2.128905,1.929821,0.1990836,3337,198,343,206,198,131,282,456,429,424,508,74,88,3337,2446,16,0,395,0,381,99,3.04,153269,1098,0,0,0,100,34,134,203,157,470,1983,1901,895
1.70E+11,15000US170318042023,Block Group 3,"Block Group 3, Census Tract 8042.02, Cook County, Illinois",il,150,0,ACSSF,11545,17,31,804202,3,750,0.1727962,0.1727962,0,750,123,78,34,62,0,55,172,126,72,28,0,0,750,716,0,0,34,0,0,0,3.18,250001,236,0,0,0,10,11,26,54,43,92,1961,,202
1.70E+11,15000US170318042024,Block Group 4,"Block Group 4, Census Tract 8042.02, Cook County, Illinois",il,150,0,ACSSF,11546,17,31,804202,4,2652,2.988282,2.953919,0.03436271,2652,77,164,188,82,123,198,260,357,650,339,194,20,2652,1670,24,0,920,0,13,25,2.58,121071,1026,0,0,0,0,22,152,236,324,292,1985,,1008
1.70E+11,15000US170318043051,Block Group 1,"Block Group 1, Census Tract 8043.05, Cook County, Illinois",il,150,0,ACSSF,11547,17,31,804305,1,1901,0.2651843,0.2651843,0,1901,95,34,172,80,250,160,409,263,188,181,69,0,1901,1116,44,0,21,0,682,38,3.29,77534,577,0,0,0,0,261,232,42,42,0,1966,,515
1.70E+11,15000US170318043052,Block Group 2,"Block Group 2, Census Tract 8043.05, Cook County, Illinois",il,150,0,ACSSF,11548,17,31,804305,2,1694,0.2746082,0.2746082,0,1694,51,115,54,119,177,316,132,223,220,124,64,99,1694,1157,98,0,144,0,250,45,3.56,75250,475,0,0,0,0,71,216,99,30,59,1973,,437
1.70E+11,15000US170318043053,Block Group 3,"Block Group 3, Census Tract 8043.05, Cook County, Illinois",il,150,0,ACSSF,11549,17,31,804305,3,1740,0.2704464,0.2369331,0.03351328,1740,64,109,63,267,60,443,229,203,187,29,66,20,1740,1238,179,0,105,0,174,44,2.9,86250,599,0,0,14,157,153,92,41,130,12,1976,1457,399
1.70E+11,15000US170318043054,Block Group 4,"Block Group 4, Census Tract 8043.05, Cook County, Illinois",il,150,0,ACSSF,11550,17,31,804305,4,1706,0.354214,0.354214,0,1706,89,59,64,84,68,327,211,256,290,185,73,0,1706,1384,55,0,201,0,51,15,2.1,75682,812,11,13,70,138,199,108,144,60,69,1985,1608,623
1.70E+11,15000US170318043061,Block Group 1,"Block Group 1, Census Tract 8043.06, Cook County, Illinois",il,150,0,ACSSF,11551,17,31,804306,1,2422,0.4354592,0.4354592,0,2422,130,243,150,126,236,359,391,288,243,162,73,21,2422,1680,0,0,51,0,629,62,3.26,67727,744,0,0,0,56,322,234,77,47,8,1963,1596,584
1.70E+11,15000US170318043062,Block Group 2,"Block Group 2, Census Tract 8043.06, Cook County, Illinois",il,150,0,ACSSF,11552,17,31,804306,2,638,0.1360987,0.1360987,0,638,32,41,36,28,48,129,86,117,54,37,30,0,638,532,9,0,0,0,97,0,3.17,82344,201,0,0,0,0,49,69,21,53,9,1966,1600,177
1.70E+11,15000US170318043063,Block Group 3,"Block Group 3, Census Tract 8043.06, Cook County, Illinois",il,150,0,ACSSF,11553,17,31,804306,3,1238,0.1151171,0.1151171,0,1238,84,32,34,87,171,241,63,171,117,192,30,16,1238,699,0,63,149,0,314,13,3.51,54792,353,0,0,0,0,79,56,151,53,14,1962,,306
1.70E+11,15000US170318043064,Block Group 4,"Block Group 4, Census Tract 8043.06, Cook County, Illinois",il,150,0,ACSSF,11554,17,31,804306,4,1473,0.2925515,0.2925515,0,1473,46,63,106,62,115,144,349,150,290,111,26,11,1473,789,68,0,109,0,448,59,3.54,73333,416,0,0,13,18,125,189,61,10,0,1957,1837,328
1.70E+11,15000US170318043081,Block Group 1,"Block Group 1, Census Tract 8043.08, Cook County, Illinois",il,150,0,ACSSF,11555,17,31,804308,1,2806,0.3023682,0.3023682,0,2806,169,109,104,73,258,261,611,204,568,248,172,29,2806,1702,13,0,811,0,212,68,2.62,54670,1071,0,0,43,326,344,243,58,42,15,1992,1815,685
1.70E+11,15000US170318043082,Block Group 2,"Block Group 2, Census Tract 8043.08, Cook County, Illinois",il,150,0,ACSSF,11556,17,31,804308,2,2733,0.3922091,0.3922091,0,2733,16,259,310,140,128,495,372,568,252,159,19,15,2733,1287,400,0,376,0,553,117,3.63,93607,752,0,0,15,57,234,305,42,42,57,1984,2034,534
1.70E+11,15000US170318043083,Block Group 3,"Block Group 3, Census Tract 8043.08, Cook County, Illinois",il,150,0,ACSSF,11557,17,31,804308,3,1473,0.1856368,0.1856368,0,1473,227,0,0,17,174,171,216,429,145,60,34,0,1473,614,50,0,347,0,429,33,1.98,75877,744,0,0,102,232,176,111,108,15,0,1994,1696,563
1.70E+11,15000US170318043091,Block Group 1,"Block Group 1, Census Tract 8043.09, Cook County, Illinois",il,150,0,ACSSF,11558,17,31,804309,1,2186,0.2993138,0.2993138,0,2186,105,168,130,147,249,289,412,269,265,85,47,20,2186,1279,141,56,106,0,454,150,3.4,90900,642,0,0,9,15,177,189,84,108,60,1965,1753,501
1.70E+11,15000US170318043092,Block Group 2,"Block Group 2, Census Tract 8043.09, Cook County, Illinois",il,150,0,ACSSF,11559,17,31,804309,2,900,0.4893529,0.4893529,0,900,65,52,37,27,101,107,144,90,174,49,49,5,900,496,109,0,138,0,91,66,2.86,77292,301,0,0,0,47,51,116,69,9,9,1988,,267
1.70E+11,15000US170318043101,Block Group 1,"Block Group 1, Census Tract 8043.10, Cook County, Illinois",il,150,0,ACSSF,11560,17,31,804310,1,2599,0.4053544,0.4053544,0,2599,183,267,160,28,45,275,532,432,265,235,177,0,2599,1630,0,0,706,0,215,48,2.72,97132,956,14,0,16,114,126,258,175,127,126,1991,1796,824
1.70E+11,15000US170318043102,Block Group 2,"Block Group 2, Census Tract 8043.10, Cook County, Illinois",il,150,0,ACSSF,11561,17,31,804310,2,2858,0.7207918,0.7207918,0,2858,135,417,61,38,218,502,341,515,382,104,145,0,2858,2428,16,0,317,0,97,0,2.93,83276,976,0,0,29,110,191,334,153,67,92,1982,1866,823
1.70E+11,15000US170318043103,Block Group 3,"Block Group 3, Census Tract 8043.10, Cook County, Illinois",il,150,0,ACSSF,11562,17,31,804310,3,1815,0.5379643,0.5379643,0,1815,38,39,71,78,159,246,198,249,551,150,19,17,1815,1197,0,7,611,0,0,0,2.96,134297,613,0,0,0,0,0,58,231,111,213,1995,,613
1.70E+11,15000US170318043104,Block Group 4,"Block Group 4, Census Tract 8043.10, Cook County, Illinois",il,150,0,ACSSF,11563,17,31,804310,4,1646,2.523604,2.523604,0,1646,131,101,110,33,70,152,293,192,327,142,65,30,1646,1233,35,0,226,0,61,91,2.74,97121,600,0,15,16,52,118,112,96,46,145,1988,1940,496
1.70E+11,15000US170318043111,Block Group 1,"Block Group 1, Census Tract 8043.11, Cook County, Illinois",il,150,0,ACSSF,11564,17,31,804311,1,2159,3.167809,3.161144,0.006664896,2159,73,130,255,76,141,104,407,303,404,247,19,0,2159,1163,0,0,941,0,0,55,3.34,122162,646,0,0,0,36,10,73,14,69,444,1996,2791,523
1.70E+11,15000US170318043112,Block Group 2,"Block Group 2, Census Tract 8043.11, Cook County, Illinois",il,150,0,ACSSF,11565,17,31,804311,2,6052,1.501744,1.501744,0,6052,655,480,245,125,663,1007,736,472,833,538,259,39,6052,3514,356,0,1295,0,817,70,2.89,98050,2093,0,0,13,130,650,383,199,196,522,1998,1680,1867
1.70E+11,15000US170318044031,Block Group 1,"Block Group 1, Census Tract 8044.03, Cook County, Illinois",il,150,0,ACSSF,11566,17,31,804403,1,1250,0.2325679,0.2325679,0,1250,116,72,138,98,63,112,136,107,220,113,45,30,1250,1250,0,0,0,0,0,0,3.22,46275,388,13,12,0,113,41,36,75,13,85,1975,1101,185
1.70E+11,15000US170318044032,Block Group 2,"Block Group 2, Census Tract 8044.03, Cook County, Illinois",il,150,0,ACSSF,11567,17,31,804403,2,1320,0.1630011,0.1630011,0,1320,104,64,56,62,110,211,79,131,160,193,82,68,1320,995,0,0,14,0,273,38,2.46,53938,537,14,9,88,94,181,23,109,0,19,1973,1246,277
1.70E+11,15000US170318044033,Block Group 3,"Block Group 3, Census Tract 8044.03, Cook County, Illinois",il,150,0,ACSSF,11568,17,31,804403,3,4126,1.28109,1.26645,0.01463945,4126,319,239,334,73,288,405,425,976,525,293,166,83,4126,2408,284,144,707,16,427,140,2.71,105250,1524,0,0,112,152,262,129,107,212,550,1995,1189,1305
1.70E+11,15000US170318044041,Block Group 1,"Block Group 1, Census Tract 8044.04, Cook County, Illinois",il,150,0,ACSSF,11569,17,31,804404,1,1446,0.1312697,0.1312697,0,1446,190,110,120,100,147,236,156,216,120,51,0,0,1446,998,136,0,9,0,238,65,4.14,63646,349,12,0,19,0,114,133,44,11,16,1975,1425,315
1.70E+11,15000US170318044042,Block Group 2,"Block Group 2, Census Tract 8044.04, Cook County, Illinois",il,150,0,ACSSF,11570,17,31,804404,2,1608,0.1506717,0.1506717,0,1608,168,72,225,44,236,214,121,303,151,48,14,12,1608,1009,0,0,145,0,378,76,4.31,76250,373,0,0,0,46,57,124,58,43,45,1978,1368,336
1.70E+11,15000US170318044043,Block Group 3,"Block Group 3, Census Tract 8044.04, Cook County, Illinois",il,150,0,ACSSF,11571,17,31,804404,3,1474,0.5458427,0.5458427,0,1474,16,64,78,36,153,169,156,186,272,223,109,12,1474,1128,17,0,143,0,169,17,2.88,84250,490,0,0,0,52,37,66,97,126,112,1991,,431
1.70E+11,15000US170318044044,Block Group 4,"Block Group 4, Census Tract 8044.04, Cook County, Illinois",il,150,0,ACSSF,11572,17,31,804404,4,1306,0.3693233,0.3693233,0,1306,40,64,122,57,149,209,293,186,89,69,18,10,1306,600,0,0,33,0,673,0,3.46,82386,377,0,0,0,9,65,129,80,83,11,1973,,344
1.70E+11,15000US170318044051,Block Group 1,"Block Group 1, Census Tract 8044.05, Cook County, Illinois",il,150,0,ACSSF,11573,17,31,804405,1,2322,0.3997239,0.3997239,0,2322,141,157,329,132,227,368,349,302,213,104,0,0,2322,675,241,61,405,0,933,7,3.56,70800,652,9,28,8,155,138,195,96,15,8,1993,1058,279
1.70E+11,15000US170318044052,Block Group 2,"Block Group 2, Census Tract 8044.05, Cook County, Illinois",il,150,0,ACSSF,11574,17,31,804405,2,1185,0.2466015,0.2466015,0,1185,105,79,79,76,142,252,187,95,14,44,78,34,1185,504,319,0,36,0,257,69,2.65,35485,431,50,15,98,55,71,81,49,12,0,1978,899,190
1.70E+11,15000US170318044061,Block Group 1,"Block Group 1, Census Tract 8044.06, Cook County, Illinois",il,150,0,ACSSF,11575,17,31,804406,1,2730,1.859321,1.843459,0.01586146,2730,311,256,329,95,80,402,432,347,294,112,72,0,2730,1518,212,0,467,0,533,0,3.89,87750,701,0,0,30,47,101,202,36,120,165,2000,1275,526
1.70E+11,15000US170318044062,Block Group 2,"Block Group 2, Census Tract 8044.06, Cook County, Illinois",il,150,0,ACSSF,11576,17,31,804406,2,2102,0.4424047,0.4424047,0,2102,100,122,221,184,202,184,375,304,221,88,101,0,2102,1205,75,0,162,0,610,50,3.44,80938,598,0,0,7,36,212,189,102,12,40,1986,,571
1.70E+11,15000US170318044063,Block Group 3,"Block Group 3, Census Tract 8044.06, Cook County, Illinois",il,150,0,ACSSF,11577,17,31,804406,3,1814,0.4420696,0.4420696,0,1814,112,114,103,168,160,259,274,171,186,154,91,22,1814,1181,99,11,54,0,434,35,2.72,50093,666,0,20,27,322,134,90,73,0,0,1992,1272,522
1.70E+11,15000US170318045051,Block Group 1,"Block Group 1, Census Tract 8045.05, Cook County, Illinois",il,150,0,ACSSF,11578,17,31,804505,1,841,0.3955412,0.3955412,0,841,117,62,33,25,45,138,126,110,79,69,18,19,841,814,0,0,10,0,0,17,2.87,85694,293,0,0,0,65,58,30,50,54,36,1957,1438,263
1.70E+11,15000US170318045052,Block Group 2,"Block Group 2, Census Tract 8045.05, Cook County, Illinois",il,150,0,ACSSF,11579,17,31,804505,2,889,0.3850489,0.3850489,0,889,17,24,61,39,44,55,165,236,59,160,29,0,889,769,50,0,22,0,48,0,2.22,60439,401,0,0,0,156,132,33,59,14,7,1974,1234,315
1.70E+11,15000US170318045053,Block Group 3,"Block Group 3, Census Tract 8045.05, Cook County, Illinois",il,150,0,ACSSF,11580,17,31,804505,3,1715,0.4135996,0.4135996,0,1715,138,89,117,59,44,309,268,259,277,69,75,11,1715,1153,128,0,204,0,181,49,2.08,80079,823,17,23,57,260,266,116,20,26,38,1986,1440,457
1.70E+11,15000US170318045061,Block Group 1,"Block Group 1, Census Tract 8045.06, Cook County, Illinois",il,150,0,ACSSF,11581,17,31,804506,1,1233,0.7400671,0.7400671,0,1233,52,121,51,31,99,126,115,104,296,148,65,25,1233,953,0,0,204,0,76,0,3.1,123611,398,0,0,0,7,41,47,42,76,185,1979,,391
1.70E+11,15000US170318045062,Block Group 2,"Block Group 2, Census Tract 8045.06, Cook County, Illinois",il,150,0,ACSSF,11582,17,31,804506,2,1440,0.4950289,0.4781269,0.01690201,1440,124,133,79,37,60,182,150,158,134,136,69,178,1440,1253,3,0,175,0,0,9,2.67,94722,508,0,8,44,59,32,59,31,139,136,1989,2556,368
1.70E+11,15000US170318045063,Block Group 3,"Block Group 3, Census Tract 8045.06, Cook County, Illinois",il,150,0,ACSSF,11583,17,31,804506,3,2460,0.7099519,0.7099519,0,2460,151,73,176,79,116,225,286,583,402,238,131,0,2460,1604,34,12,577,0,93,140,2.74,90368,899,12,0,0,145,83,151,174,135,199,1987,1483,836
1.70E+11,15000US170318045071,Block Group 1,"Block Group 1, Census Tract 8045.07, Cook County, Illinois",il,150,0,ACSSF,11584,17,31,804507,1,4137,1.976295,1.831224,0.1450706,4137,353,339,281,34,143,564,732,652,460,287,292,0,4137,2297,129,0,909,0,295,507,2.88,105845,1437,0,0,0,60,305,308,321,108,335,1995,2162,1075
1.70E+11,15000US170318045072,Block Group 2,"Block Group 2, Census Tract 8045.07, Cook County, Illinois",il,150,0,ACSSF,11585,17,31,804507,2,4099,1.484419,1.474211,0.01020777,4099,216,380,262,89,142,560,593,727,541,177,101,311,4099,2362,22,50,1350,0,63,252,3.13,122262,1310,57,212,47,0,67,263,227,238,199,1999,,951
1.70E+11,15000US170318045073,Block Group 3,"Block Group 3, Census Tract 8045.07, Cook County, Illinois",il,150,0,ACSSF,11586,17,31,804507,3,2955,1.436955,1.436955,0,2955,219,191,122,84,64,233,473,608,373,360,164,64,2955,2024,341,0,428,0,105,57,2.3,106739,1282,0,0,60,192,334,166,154,100,276,2001,1844,1172
1.70E+11,15000US170318045074,Block Group 4,"Block Group 4, Census Tract 8045.07, Cook County, Illinois",il,150,0,ACSSF,11587,17,31,804507,4,335,1.162906,1.132323,0.03058277,335,0,0,0,0,67,0,0,117,26,68,57,0,335,335,0,0,0,0,0,0,1.46,31810,230,0,0,0,160,19,51,0,0,0,1985,,230
1.70E+11,15000US170318045081,Block Group 1,"Block Group 1, Census Tract 8045.08, Cook County, Illinois",il,150,0,ACSSF,11588,17,31,804508,1,2399,0.3613608,0.3613608,0,2399,261,138,157,99,260,441,355,271,246,140,31,0,2399,1311,29,0,397,0,475,187,3.21,61148,747,0,0,55,247,178,129,94,9,35,1978,1174,344
1.70E+11,15000US170318045091,Block Group 1,"Block Group 1, Census Tract 8045.09, Cook County, Illinois",il,150,0,ACSSF,11589,17,31,804509,1,1081,0.2144265,0.2144265,0,1081,81,76,41,6,103,165,140,131,150,69,106,13,1081,933,87,0,0,0,61,0,3.15,96607,343,0,0,0,12,82,76,86,79,8,1972,,326
1.70E+11,15000US170318045092,Block Group 2,"Block Group 2, Census Tract 8045.09, Cook County, Illinois",il,150,0,ACSSF,11590,17,31,804509,2,1945,0.1869584,0.1869584,0,1945,159,102,181,42,291,293,365,132,217,91,26,46,1945,1110,77,0,22,0,652,84,3.82,79111,456,0,0,5,53,214,61,97,26,0,1975,2181,387
1.70E+11,15000US170318045093,Block Group 3,"Block Group 3, Census Tract 8045.09, Cook County, Illinois",il,150,0,ACSSF,11591,17,31,804509,3,1273,0.1206882,0.1206882,0,1273,71,215,92,61,68,56,249,227,29,151,54,0,1273,468,251,0,293,0,121,140,3.62,76053,352,0,7,0,64,94,32,36,67,52,1976,1172,265
1.70E+11,15000US170318045094,Block Group 4,"Block Group 4, Census Tract 8045.09, Cook County, Illinois",il,150,0,ACSSF,11592,17,31,804509,4,1902,0.3100532,0.3100532,0,1902,112,124,197,143,155,254,285,171,292,90,30,49,1902,790,37,31,368,0,652,24,4.21,92857,452,0,0,0,32,107,77,106,102,28,1978,1500,402
1.70E+11,15000US170318045101,Block Group 1,"Block Group 1, Census Tract 8045.10, Cook County, Illinois",il,150,0,ACSSF,11593,17,31,804510,1,2218,0.1475293,0.1475293,0,2218,142,265,261,122,240,493,218,207,153,71,46,0,2218,1179,30,0,72,0,914,23,5.17,78750,429,0,23,22,26,135,82,72,14,55,1966,1396,258
1.70E+11,15000US170318045102,Block Group 2,"Block Group 2, Census Tract 8045.10, Cook County, Illinois",il,150,0,ACSSF,11594,17,31,804510,2,962,0.1210465,0.1210465,0,962,40,38,114,57,113,115,140,139,100,61,14,31,962,365,67,0,37,0,432,61,4.16,61442,231,0,0,17,8,64,80,42,0,20,1965,,231
1.70E+11,15000US170318045103,Block Group 3,"Block Group 3, Census Tract 8045.10, Cook County, Illinois",il,150,0,ACSSF,11595,17,31,804510,3,1733,0.1159496,0.1159496,0,1733,139,142,194,68,323,219,239,126,221,40,14,8,1733,625,117,0,188,0,789,14,4.15,57500,418,0,0,89,167,48,27,42,7,38,1976,936,96
1.70E+11,15000US170318045104,Block Group 4,"Block Group 4, Census Tract 8045.10, Cook County, Illinois",il,150,0,ACSSF,11596,17,31,804510,4,1374,0.1573139,0.1573139,0,1374,77,120,131,48,111,157,311,123,161,47,81,7,1374,925,0,5,9,0,418,17,3.95,82000,348,0,0,5,39,100,102,57,0,45,1964,,321
1.70E+11,15000US170318045111,Block Group 1,"Block Group 1, Census Tract 8045.11, Cook County, Illinois",il,150,0,ACSSF,11597,17,31,804511,1,1972,0.2920674,0.2920674,0,1972,158,160,219,97,187,291,356,263,141,53,32,15,1972,1151,126,5,337,0,353,0,3.22,58657,613,4,5,109,174,143,120,38,6,14,1978,1085,234
1.70E+11,15000US170318045112,Block Group 2,"Block Group 2, Census Tract 8045.11, Cook County, Illinois",il,150,0,ACSSF,11598,17,31,804511,2,511,0.06071495,0.06071495,0,511,41,71,22,35,78,27,95,84,37,16,5,0,511,217,79,0,36,0,179,0,4.6,55750,111,0,0,0,57,40,6,5,3,0,1967,981,64
1.70E+11,15000US170318046031,Block Group 1,"Block Group 1, Census Tract 8046.03, Cook County, Illinois",il,150,0,ACSSF,11599,17,31,804603,1,2673,2.102497,2.102497,0,2673,145,137,156,62,351,441,491,426,220,158,74,12,2673,1620,0,0,386,0,627,40,2.86,66691,935,0,19,206,253,147,55,28,37,190,1971,1323,436
1.70E+11,15000US170318046032,Block Group 2,"Block Group 2, Census Tract 8046.03, Cook County, Illinois",il,150,0,ACSSF,11600,17,31,804603,2,1474,0.60089,0.5971116,0.003778396,1474,113,92,24,81,92,537,206,122,138,52,17,0,1474,798,92,0,145,0,331,108,1.9,57667,774,71,109,155,278,145,16,0,0,0,1976,1225,221
1.70E+11,15000US170318046033,Block Group 3,"Block Group 3, Census Tract 8046.03, Cook County, Illinois",il,150,0,ACSSF,11601,17,31,804603,3,1990,1.870668,1.870668,0,1990,195,138,25,0,119,625,500,48,102,106,98,34,1990,709,36,0,1164,0,34,47,1.95,76705,992,42,158,292,310,68,51,19,18,34,1979,1572,131
1.70E+11,15000US170318046061,Block Group 1,"Block Group 1, Census Tract 8046.06, Cook County, Illinois",il,150,0,ACSSF,11602,17,31,804606,1,579,0.2410474,0.2410474,0,579,0,12,33,28,10,80,108,52,109,113,34,0,579,483,0,0,96,0,0,0,2.54,96833,228,0,0,0,0,0,38,40,99,51,1978,,210
1.70E+11,15000US170318046062,Block Group 2,"Block Group 2, Census Tract 8046.06, Cook County, Illinois",il,150,0,ACSSF,11603,17,31,804606,2,2479,0.4425662,0.4425662,0,2479,98,107,237,67,127,191,225,313,444,382,149,139,2479,2008,59,0,182,0,195,35,2.66,111544,853,47,0,0,21,193,188,126,205,73,1982,1189,782
1.70E+11,15000US170318046063,Block Group 3,"Block Group 3, Census Tract 8046.06, Cook County, Illinois",il,150,0,ACSSF,11604,17,31,804606,3,1270,0.7407694,0.7164806,0.02428892,1270,68,144,60,39,34,108,230,115,206,155,76,35,1270,913,23,0,266,0,0,68,3.14,120962,404,0,0,0,0,30,59,61,182,72,1974,,404
