FIPS,Geographic Identifier,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Block Group,Total Population,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Average Household Size,Median Household Income (In 2019 Inflation Adjusted Dollars),Occupied Housing Units,Occupied Housing Units: 1 Room,Occupied Housing Units: 2 Rooms,Occupied Housing Units: 3 Rooms,Occupied Housing Units: 4 Rooms,Occupied Housing Units: 5 Rooms,Occupied Housing Units: 6 Rooms,Occupied Housing Units: 7 Rooms,Occupied Housing Units: 8 Rooms,Occupied Housing Units: 9 or More Rooms,Median Year Structure Built,Median Gross Rent,Owner-Occupied Housing Units
1.70E+11,15000US170310205003,Block Group 3,"Block Group 3, Census Tract 205, Cook County, Illinois",il,150,0,ACSSF,9385,17,31,20500,3,1840,0.1938275,0.1938275,0,1840,69,91,74,29,132,247,214,296,223,188,187,90,1840,585,191,0,976,0,39,49,3.06,24223,565,0,63,138,103,187,29,0,0,45,1952,,248
1.70E+11,15000US170310205004,Block Group 4,"Block Group 4, Census Tract 205, Cook County, Illinois",il,150,0,ACSSF,9386,17,31,20500,4,523,0.02520977,0.02520977,0,523,58,24,24,0,0,127,125,31,71,32,31,0,523,57,110,0,255,0,63,38,2.41,43480,217,0,16,17,70,36,65,13,0,0,0,997,26
1.70E+11,15000US170310206011,Block Group 1,"Block Group 1, Census Tract 206.01, Cook County, Illinois",il,150,0,ACSSF,9387,17,31,20601,1,1485,0.1018746,0.1018746,0,1485,108,40,24,50,147,110,130,321,111,186,219,39,1485,1129,0,0,197,0,0,159,2.79,50429,528,0,0,57,76,13,192,12,45,133,1950,1157,315
1.70E+11,15000US170310206012,Block Group 2,"Block Group 2, Census Tract 206.01, Cook County, Illinois",il,150,0,ACSSF,9388,17,31,20601,2,4393,0.07907681,0.07907681,0,4393,487,278,473,477,597,428,529,441,457,201,25,0,4393,2576,232,0,1482,0,54,49,4.19,29426,1048,42,11,158,258,291,164,52,62,10,1952,1242,322
1.70E+11,15000US170310206013,Block Group 3,"Block Group 3, Census Tract 206.01, Cook County, Illinois",il,150,0,ACSSF,9389,17,31,20601,3,647,0.04736084,0.04736084,0,647,50,34,0,0,23,136,99,67,82,135,0,21,647,259,124,66,128,0,0,70,1.64,33958,383,20,0,18,184,112,32,8,0,9,0,597,259
1.70E+11,15000US170310206021,Block Group 1,"Block Group 1, Census Tract 206.02, Cook County, Illinois",il,150,0,ACSSF,9390,17,31,20602,1,1004,0.04768632,0.04768632,0,1004,152,57,59,64,74,99,120,127,107,107,0,38,1004,595,172,0,237,0,0,0,2.77,54211,360,0,7,0,95,108,41,49,24,36,0,1410,170
1.70E+11,15000US170310206022,Block Group 2,"Block Group 2, Census Tract 206.02, Cook County, Illinois",il,150,0,ACSSF,9391,17,31,20602,2,1159,0.04733381,0.04733381,0,1159,140,15,97,0,239,96,239,68,98,93,74,0,1159,271,78,0,223,0,562,25,4.08,65143,284,30,0,0,25,129,57,43,0,0,0,1319,81
1.70E+11,15000US170310206023,Block Group 3,"Block Group 3, Census Tract 206.02, Cook County, Illinois",il,150,0,ACSSF,9392,17,31,20602,3,1871,0.04732725,0.04732725,0,1871,260,206,276,32,89,403,186,111,150,116,42,0,1871,735,363,0,508,0,265,0,4.18,53077,448,0,0,54,52,82,143,40,9,68,0,1305,169
1.70E+11,15000US170310206024,Block Group 4,"Block Group 4, Census Tract 206.02, Cook County, Illinois",il,150,0,ACSSF,9393,17,31,20602,4,731,0.04762532,0.04762532,0,731,44,98,19,8,11,89,74,89,169,74,56,0,731,565,12,0,114,0,11,29,2.38,94545,302,0,0,0,45,30,78,53,26,70,0,1149,188
1.70E+11,15000US170310207011,Block Group 1,"Block Group 1, Census Tract 207.01, Cook County, Illinois",il,150,0,ACSSF,9394,17,31,20701,1,936,0.1672483,0.1672483,0,936,59,42,139,13,23,93,158,124,153,74,50,8,936,649,40,0,151,0,56,40,2.67,66750,351,0,0,10,24,90,62,74,37,54,0,1230,271
1.70E+11,15000US170310207012,Block Group 2,"Block Group 2, Census Tract 207.01, Cook County, Illinois",il,150,0,ACSSF,9395,17,31,20701,2,908,0.06109102,0.06109102,0,908,50,50,15,25,80,189,126,70,150,106,43,4,908,660,54,0,153,0,6,35,2.79,106029,326,0,5,17,18,126,66,43,10,41,1949,1480,184
1.70E+11,15000US170310207021,Block Group 1,"Block Group 1, Census Tract 207.02, Cook County, Illinois",il,150,0,ACSSF,9396,17,31,20702,1,2444,0.120684,0.120684,0,2444,277,174,174,23,210,279,428,170,214,366,96,33,2444,1786,15,0,355,0,60,228,2.98,37250,819,89,0,45,236,193,171,54,15,16,1952,1165,282
1.70E+11,15000US170310207022,Block Group 2,"Block Group 2, Census Tract 207.02, Cook County, Illinois",il,150,0,ACSSF,9397,17,31,20702,2,2955,0.0615999,0.0615999,0,2955,254,617,154,16,132,714,287,149,360,125,56,91,2955,1625,563,0,448,0,65,254,3.36,67849,822,46,33,79,171,311,104,69,9,0,1951,1135,291
1.70E+11,15000US170310207023,Block Group 3,"Block Group 3, Census Tract 207.02, Cook County, Illinois",il,150,0,ACSSF,9398,17,31,20702,3,2041,0.06078522,0.06078522,0,2041,388,275,105,21,83,139,433,126,158,250,33,30,2041,542,92,0,676,0,731,0,3.85,49082,526,79,49,72,36,95,169,15,11,0,1964,1123,137
1.70E+11,15000US170310207024,Block Group 4,"Block Group 4, Census Tract 207.02, Cook County, Illinois",il,150,0,ACSSF,9399,17,31,20702,4,786,0.06074584,0.06074584,0,786,4,3,73,49,72,217,35,201,15,117,0,0,786,240,28,0,518,0,0,0,3.43,,229,0,0,39,0,118,66,0,0,6,1943,1286,40
1.70E+11,15000US170310208011,Block Group 1,"Block Group 1, Census Tract 208.01, Cook County, Illinois",il,150,0,ACSSF,9400,17,31,20801,1,1861,0.06295705,0.06295705,0,1861,38,78,133,26,255,306,265,349,142,140,83,46,1861,1370,0,0,437,0,19,35,2.67,58582,697,0,19,50,133,209,151,96,17,22,0,1329,388
1.70E+11,15000US170310208012,Block Group 2,"Block Group 2, Census Tract 208.01, Cook County, Illinois",il,150,0,ACSSF,9401,17,31,20801,2,582,0.06373427,0.06373427,0,582,0,22,18,0,0,142,39,123,118,82,38,0,582,439,0,0,124,0,0,19,2.38,67946,245,0,0,0,33,53,89,51,0,19,0,,212
1.70E+11,15000US170310208013,Block Group 3,"Block Group 3, Census Tract 208.01, Cook County, Illinois",il,150,0,ACSSF,9402,17,31,20801,3,1361,0.06282809,0.06282809,0,1361,19,86,137,82,150,135,304,199,122,56,71,0,1361,918,1,0,442,0,0,0,2.85,52633,475,0,18,44,169,132,86,20,6,0,1953,1285,127
1.70E+11,15000US170310208014,Block Group 4,"Block Group 4, Census Tract 208.01, Cook County, Illinois",il,150,0,ACSSF,9403,17,31,20801,4,2371,0.06374547,0.06374547,0,2371,181,122,117,37,192,362,399,274,372,226,19,70,2371,1014,186,0,772,17,42,340,2.98,48088,796,0,20,94,212,133,260,41,0,36,0,1006,284
1.70E+11,15000US170310208021,Block Group 1,"Block Group 1, Census Tract 208.02, Cook County, Illinois",il,150,0,ACSSF,9404,17,31,20802,1,1613,0.06202037,0.06202037,0,1613,54,0,128,70,145,224,192,253,408,79,29,31,1613,1055,0,0,318,0,0,240,3.31,69410,488,0,0,0,35,139,95,101,71,47,0,1402,261
1.70E+11,15000US170310208022,Block Group 2,"Block Group 2, Census Tract 208.02, Cook County, Illinois",il,150,0,ACSSF,9405,17,31,20802,2,1620,0.06146013,0.06146013,0,1620,69,135,244,53,122,303,329,69,219,33,44,0,1620,313,132,294,500,0,124,257,2.79,47935,575,17,36,136,58,141,131,17,39,0,1944,1207,198
1.70E+11,15000US170310208023,Block Group 3,"Block Group 3, Census Tract 208.02, Cook County, Illinois",il,150,0,ACSSF,9406,17,31,20802,3,3592,0.06230067,0.06230067,0,3592,303,254,300,134,251,653,584,412,468,132,69,32,3592,1469,112,0,1620,0,11,380,4.18,31794,859,18,0,61,191,269,246,71,0,3,0,1154,91
