,GEOID,avg_reading_all,max_reading_all,sample_cnt,hh_size,med_income,occ_units,med_rent,oo_hsng_un,perc_white,perc_non_w,perc_black,perc_owner,tot_pop,"('PIN', 'count')","('Prior Tax Year Market Value Estimate (Land)', 'mean')","('Prior Tax Year Market Value Estimate (Land)', 'median')","('Prior Tax Year Market Value Estimate (Building)', 'mean')","('Prior Tax Year Market Value Estimate (Building)', 'median')","('Land Square Feet', 'mean')","('Land Square Feet', 'median')","('Building Square Feet', 'mean')","('Building Square Feet', 'median')","('Age', 'mean')","('Age', 'median')",Property Class_200.0,Property Class_201.0,Property Class_202.0,Property Class_203.0,Property Class_204.0,Property Class_205.0,Property Class_206.0,Property Class_207.0,Property Class_208.0,Property Class_209.0,Property Class_210.0,Property Class_211.0,Property Class_212.0,Property Class_234.0,Property Class_241.0,Property Class_278.0,Property Class_295.0,Property Class_299.0,Wall Material_1.0,Wall Material_2.0,Wall Material_3.0,Wall Material_4.0,Wall Material_nan,Roof Material_1.0,Roof Material_2.0,Roof Material_3.0,Roof Material_4.0,Roof Material_5.0,Roof Material_6.0,Roof Material_nan,Repair Condition_1.0,Repair Condition_2.0,Repair Condition_3.0,Repair Condition_nan,Renovation_1.0,Renovation_2.0,Renovation_nan,threshold_high,threshold_medium
1662,170316715002,1.933333333333333,2.7199999999999998,5.0,2.55,26638.0,394.0,1191.0,176.0,0.031872509960159,0.968127490039841,0.821713147410359,0.446700507614213,1004.0,367.0,21243.950953678475,20310.0,41514.90463215259,41720.0,3268.6376021798364,3125.0,1181.8328611898016,1040.0,89.34059945504087,100.0,0.0,0.0163487738419618,0.4196185286103542,0.329700272479564,0.0108991825613079,0.0299727520435967,0.0027247956403269,0.0081743869209809,0.0,0.0,0.0,0.1471389645776566,0.0108991825613079,0.0027247956403269,0.0217983651226158,0.0,0.0,0.0,0.6267029972752044,0.2861035422343324,0.0408719346049046,0.0081743869209809,0.0381471389645776,0.9155313351498636,0.0272479564032697,0.0027247956403269,0.0,0.0027247956403269,0.0136239782016348,0.0381471389645776,0.0,0.9482288828337876,0.0136239782016348,0.0381471389645776,0.0027247956403269,0.0,0.997275204359673,0,0
1663,170316715003,2.666666666666667,5.139999999999999,5.0,2.35,29632.0,275.0,808.0,163.0,0.05521472392638,0.94478527607362,0.94478527607362,0.592727272727273,652.0,299.0,22917.759197324416,20310.0,40692.307692307695,42020.0,3352.799331103679,3125.0,1483.6386861313867,1119.5,88.38127090301003,95.0,0.0,0.0334448160535117,0.2474916387959866,0.3478260869565217,0.0367892976588628,0.0267558528428093,0.0100334448160535,0.0,0.0,0.0,0.0,0.217391304347826,0.0301003344481605,0.0,0.0501672240802675,0.0,0.0,0.0,0.5418060200668896,0.31438127090301,0.0568561872909698,0.0033444816053511,0.0836120401337792,0.8294314381270903,0.0668896321070234,0.0033444816053511,0.0033444816053511,0.0033444816053511,0.0100334448160535,0.0836120401337792,0.0,0.9096989966555185,0.0066889632107023,0.0836120401337792,0.0,0.0,1.0,0,1
1664,170316716001,4.193333333333333,5.62,5.0,1.84,16402.0,307.0,783.0,46.0,0.143283582089552,0.856716417910448,0.825373134328358,0.149837133550489,670.0,164.0,25652.926829268294,23430.0,43370.0,41235.0,3421.048780487805,3125.0,1695.4088050314465,1452.0,108.09146341463416,112.0,0.0,0.0121951219512195,0.1646341463414634,0.1646341463414634,0.0182926829268292,0.1341463414634146,0.0,0.0182926829268292,0.0,0.0,0.0,0.4085365853658536,0.024390243902439,0.0365853658536585,0.0182926829268292,0.0,0.0,0.0,0.5853658536585366,0.3109756097560975,0.0548780487804878,0.0182926829268292,0.0304878048780487,0.7621951219512195,0.2012195121951219,0.0060975609756097,0.0,0.0,0.0,0.0304878048780487,0.0060975609756097,0.9573170731707316,0.0060975609756097,0.0304878048780487,0.0,0.0,1.0,0,1
1665,170316716002,,,0.0,2.8,31336.0,249.0,842.0,80.0,0.0,1.0,1.0,0.321285140562249,698.0,195.0,25000.20512820513,23430.0,41544.46153846154,37360.0,3334.225641025641,3125.0,1547.2096774193549,1249.5,103.72307692307692,110.0,0.0,0.0205128205128205,0.3128205128205128,0.2564102564102564,0.0102564102564102,0.041025641025641,0.0,0.0102564102564102,0.0,0.0,0.0,0.2974358974358974,0.0051282051282051,0.0205128205128205,0.0256410256410256,0.0,0.0,0.0,0.6666666666666666,0.2512820512820513,0.0307692307692307,0.0051282051282051,0.0461538461538461,0.8153846153846154,0.1179487179487179,0.0153846153846153,0.0,0.0051282051282051,0.0,0.0461538461538461,0.0,0.9384615384615383,0.0153846153846153,0.0461538461538461,0.0,0.0,1.0,0,0
1666,170316716003,2.827777777777778,3.983333333333333,6.0,2.48,20625.0,111.0,885.0,24.0,0.018181818181818,0.981818181818182,0.981818181818182,0.216216216216216,275.0,133.0,23802.105263157893,23430.0,43775.03759398496,42930.0,3174.3233082706765,3125.0,1677.0944881889764,1408.0,102.77443609022556,110.0,0.0,0.0225563909774436,0.1353383458646616,0.2857142857142857,0.0075187969924812,0.0300751879699248,0.0075187969924812,0.0225563909774436,0.0,0.0,0.0,0.3458646616541353,0.0601503759398496,0.0601503759398496,0.0225563909774436,0.0,0.0,0.0,0.5789473684210527,0.3308270676691729,0.0451127819548872,0.0,0.0451127819548872,0.6992481203007519,0.225563909774436,0.0225563909774436,0.0,0.0075187969924812,0.0,0.0451127819548872,0.0,0.9473684210526316,0.0075187969924812,0.0451127819548872,0.0,0.0,1.0,0,0
1667,170316718001,4.593888888888889,6.863333333333333,12.0,3.56,28036.0,383.0,1282.0,219.0,0.032918800292612,0.967081199707388,0.90929041697147,0.571801566579634,1367.0,425.0,25384.4,23430.0,43864.25882352941,41490.0,3385.449411764706,3125.0,1249.0263788968823,1077.0,103.06588235294116,106.0,0.0,0.0117647058823529,0.3152941176470588,0.5058823529411764,0.0023529411764705,0.0117647058823529,0.0070588235294117,0.0,0.0,0.0,0.0,0.1129411764705882,0.0117647058823529,0.0141176470588235,0.0070588235294117,0.0,0.0,0.0,0.7858823529411765,0.1576470588235294,0.0305882352941176,0.0070588235294117,0.0188235294117647,0.9270588235294116,0.0352941176470588,0.0047058823529411,0.0,0.0141176470588235,0.0,0.0188235294117647,0.0,0.9670588235294116,0.0141176470588235,0.0188235294117647,0.0,0.0,1.0,0,1
1668,170316719001,3.330555555555556,4.2749999999999995,6.0,3.88,47400.0,290.0,1203.0,206.0,0.056888888888889,0.943111111111111,0.847111111111111,0.710344827586207,1125.0,349.0,27746.24641833811,27180.0,43516.79083094556,40290.0,3700.194842406877,3625.0,1296.7238372093022,1058.0,98.39255014326648,104.0,0.0,0.0057306590257879,0.2607449856733524,0.5587392550143266,0.0085959885386819,0.0057306590257879,0.0057306590257879,0.0,0.0,0.0,0.0,0.1203438395415472,0.0200573065902578,0.0057306590257879,0.0085959885386819,0.0,0.0,0.0,0.7277936962750716,0.2091690544412607,0.0401146131805157,0.0085959885386819,0.0143266475644699,0.9169054441260746,0.0601719197707736,0.0,0.0,0.0085959885386819,0.0,0.0143266475644699,0.0,0.9742120343839542,0.0114613180515759,0.0143266475644699,0.0,0.0,1.0,0,0
1669,170316720001,1.3333333333333337,1.7666666666666666,3.0,3.33,49115.0,221.0,,169.0,0.0,1.0,0.960651289009498,0.764705882352941,737.0,269.0,21482.118959107807,20310.0,47892.82527881041,48250.0,3305.3977695167287,3125.0,1200.2054263565892,1020.0,90.97026022304831,95.0,0.0,0.0148698884758364,0.4237918215613382,0.3754646840148699,0.0185873605947955,0.0223048327137546,0.0,0.0,0.0,0.0,0.0,0.104089219330855,0.0148698884758364,0.0,0.0260223048327137,0.0,0.0,0.0,0.6840148698884758,0.2342007434944238,0.0334572490706319,0.0074349442379182,0.0408921933085501,0.895910780669145,0.0483271375464684,0.0037174721189591,0.0,0.0074349442379182,0.0037174721189591,0.0408921933085501,0.0,0.9479553903345724,0.0111524163568773,0.0408921933085501,0.0,0.0,1.0,0,0
1670,170316720002,12.470416666666667,32.155,16.0,3.5,55932.0,351.0,1262.0,198.0,0.0,1.0,0.955248169243287,0.564102564102564,1229.0,310.0,22174.064516129038,20310.0,48002.35483870968,49045.0,3411.9129032258065,3125.0,1073.8486842105262,1013.0,84.43548387096774,92.0,0.0,0.0064516129032258,0.4354838709677419,0.4838709677419355,0.0,0.0161290322580645,0.0,0.0064516129032258,0.0,0.0,0.0,0.0258064516129032,0.0,0.0129032258064516,0.0129032258064516,0.0,0.0,0.0,0.5129032258064516,0.4161290322580645,0.0451612903225806,0.0064516129032258,0.0193548387096774,0.964516129032258,0.0064516129032258,0.0032258064516129,0.0,0.0032258064516129,0.0032258064516129,0.0193548387096774,0.0064516129032258,0.9612903225806452,0.0129032258064516,0.0193548387096774,0.0,0.0,1.0,1,1
1671,170316720003,4.7555555555555555,6.7,6.0,2.79,27917.0,383.0,1125.0,172.0,0.027128157156221,0.972871842843779,0.972871842843779,0.449086161879896,1069.0,350.0,22070.714285714286,20310.0,50597.88571428572,52775.0,3395.997142857143,3125.0,1115.860058309038,1070.0,74.43142857142857,62.0,0.0,0.0114285714285714,0.2828571428571428,0.5742857142857143,0.0142857142857142,0.0257142857142857,0.0,0.0057142857142857,0.0,0.0,0.0,0.0257142857142857,0.0028571428571428,0.0485714285714285,0.0085714285714285,0.0,0.0,0.0,0.3342857142857143,0.5714285714285714,0.0714285714285714,0.0028571428571428,0.02,0.9314285714285714,0.02,0.0114285714285714,0.0028571428571428,0.0142857142857142,0.0,0.02,0.0,0.98,0.0,0.02,0.0,0.0,1.0,0,1
