	GEOID	hh_size	med_income	occ_units	med_rent	oo_hsng_units	perc_white	perc_non_white	perc_black	perc_owner_occ	tot_pop	('PIN', 'count')	('Prior Tax Year Market Value Estimate (Land)', 'mean')	('Prior Tax Year Market Value Estimate (Land)', 'median')	('Prior Tax Year Market Value Estimate (Building)', 'mean')	('Prior Tax Year Market Value Estimate (Building)', 'median')	('Land Square Feet', 'mean')	('Land Square Feet', 'median')	('Building Square Feet', 'mean')	('Building Square Feet', 'median')	('Age', 'mean')	('Age', 'median')	Property Class_200.0	Property Class_201.0	Property Class_202.0	Property Class_203.0	Property Class_204.0	Property Class_205.0	Property Class_206.0	Property Class_207.0	Property Class_208.0	Property Class_209.0	Property Class_210.0	Property Class_211.0	Property Class_212.0	Property Class_234.0	Property Class_241.0	Property Class_278.0	Property Class_295.0	Property Class_299.0	Wall Material_1.0	Wall Material_2.0	Wall Material_3.0	Wall Material_4.0	Wall Material_nan	Roof Material_1.0	Roof Material_2.0	Roof Material_3.0	Roof Material_4.0	Roof Material_5.0	Roof Material_6.0	Roof Material_nan	Repair Condition_1.0	Repair Condition_2.0	Repair Condition_3.0	Repair Condition_nan	Renovation_1.0	Renovation_2.0	Renovation_nan
1549	170316308001	3.46	51508.0	465	830.0	324	0.5062111801242236	0.4937888198757764	0.012422360248447204	0.6967741935483871	1610	279	31794.229390681005	31870.0	115399.4982078853	110400.0	3741.0071684587815	3750.0	1480.8079710144928	1190.0	88.5304659498208	93.0	0.0	0.0	0.17921146953405018	0.5448028673835126	0.025089605734767026	0.02867383512544803	0.0035842293906810036	0.0	0.0	0.0	0.0	0.18996415770609318	0.017921146953405017	0.0	0.010752688172043012	0.0	0.0	0.0	0.17921146953405018	0.7562724014336918	0.05017921146953405	0.0035842293906810036	0.010752688172043012	0.931899641577061	0.04659498207885305	0.0035842293906810036	0.0	0.007168458781362007	0.0	0.010752688172043012	0.0035842293906810036	0.982078853046595	0.0035842293906810036	0.010752688172043012	0.0	0.0	1.0
1550	170316308002	4.95	68450.0	367	1101.0	189	0.40154015401540155	0.5984598459845984	0.0	0.5149863760217984	1818	289	31160.89965397924	31870.0	108991.62629757785	104390.0	3666.529411764706	3750.0	1275.2666666666667	1086.0	91.43944636678201	95.0	0.0	0.010380622837370242	0.33217993079584773	0.5294117647058824	0.02768166089965398	0.0	0.010380622837370242	0.0	0.0	0.0	0.0	0.07958477508650519	0.0	0.006920415224913495	0.0034602076124567475	0.0	0.0	0.0	0.08650519031141868	0.7820069204152249	0.11072664359861592	0.006920415224913495	0.01384083044982699	0.9584775086505191	0.01730103806228374	0.0	0.0	0.010380622837370242	0.0	0.01384083044982699	0.0	0.986159169550173	0.0	0.01384083044982699	0.0	0.0	1.0
1551	170316308003	4.23	75350.0	461	1590.0	379	0.5615384615384615	0.43846153846153846	0.0	0.8221258134490239	1950	288	32357.708333333332	31870.0	109932.5	107085.0	3807.3541666666665	3750.0	1289.0348432055748	1179.0	93.20833333333333	94.0	0.0	0.003472222222222222	0.1423611111111111	0.7430555555555556	0.017361111111111112	0.024305555555555556	0.003472222222222222	0.0	0.0	0.0	0.0	0.06597222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.1597222222222222	0.7847222222222222	0.052083333333333336	0.0	0.003472222222222222	0.9826388888888888	0.010416666666666666	0.0	0.0	0.003472222222222222	0.0	0.003472222222222222	0.0	0.9965277777777778	0.0	0.003472222222222222	0.0	0.0	1.0
1552	170316308004	3.33	34331.0	421	630.0	179	0.11903064861012116	0.8809693513898789	0.06200997861724875	0.4251781472684085	1403	232	32198.577586206895	31870.0	113321.72413793103	107950.0	3788.6163793103447	3750.0	1681.6200873362445	1195.0	91.22844827586206	94.0	0.0	0.0	0.07327586206896551	0.646551724137931	0.02586206896551724	0.01293103448275862	0.004310344827586207	0.0	0.0	0.0	0.0	0.17672413793103448	0.04741379310344827	0.0	0.01293103448275862	0.0	0.0	0.0	0.07758620689655173	0.8405172413793104	0.06896551724137931	0.0	0.01293103448275862	0.9051724137931034	0.08189655172413793	0.0	0.0	0.0	0.0	0.01293103448275862	0.0	0.978448275862069	0.008620689655172414	0.01293103448275862	0.0	0.0	1.0
1553	170316309001	4.04	47500.0	474	804.0	306	0.7003089598352215	0.29969104016477854	0.008753861997940269	0.6455696202531646	1942	294	31734.72789115646	32130.0	114725.61224489796	111535.0	3733.7721088435374	3780.0	1365.4055944055945	1102.0	94.52380952380952	95.0	0.0	0.013605442176870748	0.3299319727891156	0.391156462585034	0.013605442176870748	0.05782312925170068	0.013605442176870748	0.0	0.0	0.0	0.0	0.1326530612244898	0.034013605442176874	0.0	0.013605442176870748	0.0	0.0	0.0	0.3163265306122449	0.5408163265306123	0.08503401360544217	0.030612244897959183	0.027210884353741496	0.8707482993197279	0.07482993197278912	0.0	0.0	0.01020408163265306	0.017006802721088437	0.027210884353741496	0.0	0.9727891156462585	0.0	0.027210884353741496	0.0	0.0	1.0
1554	170316309002	3.06	23625.0	360	909.0	166	0.4940962761126249	0.5059037238873751	0.048138056312443236	0.46111111111111114	1101	286	31118.076923076922	31460.0	117406.95804195805	112715.0	3661.3146853146854	3702.0	1386.8790035587188	1100.0	84.35314685314685	93.0	0.0	0.0034965034965034965	0.28321678321678323	0.4965034965034965	0.013986013986013986	0.02097902097902098	0.0	0.0034965034965034965	0.0	0.0	0.0	0.14685314685314685	0.006993006993006993	0.01048951048951049	0.013986013986013986	0.0	0.0	0.0	0.2097902097902098	0.6783216783216783	0.06643356643356643	0.027972027972027972	0.017482517482517484	0.9265734265734266	0.03496503496503497	0.0	0.0	0.0034965034965034965	0.017482517482517484	0.017482517482517484	0.0	0.9825174825174825	0.0	0.017482517482517484	0.0	0.0	1.0
1555	170316309003	4.36	60518.0	487	1114.0	334	0.3738229755178908	0.6261770244821092	0.0211864406779661	0.6858316221765913	2124	356	32018.314606741573	32130.0	114661.43258426966	111555.0	3767.1938202247193	3780.0	1156.6225352112676	1064.0	89.51966292134831	93.0	0.0	0.0	0.3089887640449438	0.5702247191011236	0.025280898876404494	0.03089887640449438	0.0028089887640449437	0.0056179775280898875	0.0	0.0	0.0	0.03932584269662921	0.0056179775280898875	0.0056179775280898875	0.0028089887640449437	0.0028089887640449437	0.0	0.0	0.12640449438202248	0.7612359550561798	0.10393258426966293	0.0056179775280898875	0.0028089887640449437	0.9691011235955056	0.016853932584269662	0.0	0.0	0.0028089887640449437	0.008426966292134831	0.0028089887640449437	0.0	0.9971910112359551	0.0	0.0028089887640449437	0.0	0.0	1.0
1556	170316401001	3.1	42895.0	494	1017.0	217	0.6723237597911227	0.3276762402088773	0.024151436031331592	0.4392712550607287	1532	320	36928.28125	37800.0	171872.0625	162150.0	3850.109375	3780.0	1504.6633986928105	1250.0	61.765625	60.0	0.0	0.003125	0.125	0.325	0.01875	0.0625	0.003125	0.00625	0.0	0.0	0.0	0.265625	0.00625	0.021875	0.003125	0.003125	0.11875	0.0375	0.24375	0.628125	0.08125	0.003125	0.04375	0.89375	0.040625	0.00625	0.0	0.003125	0.0125	0.04375	0.0	0.95	0.00625	0.04375	0.0	0.0	1.0
1557	170316403001	3.3	51658.0	271	965.0	95	0.7519553072625699	0.24804469273743013	0.07932960893854749	0.3505535055350554	895	190	36404.15789473684	37800.0	177944.2105263158	171295.0	4342.121052631579	3780.0	1634.1849710982658	1134.0	64.52105263157895	61.0	0.0	0.010526315789473684	0.12631578947368421	0.4631578947368421	0.010526315789473684	0.06315789473684211	0.005263157894736842	0.0	0.0	0.0	0.0	0.1631578947368421	0.05263157894736842	0.0	0.015789473684210527	0.005263157894736842	0.021052631578947368	0.06315789473684211	0.18421052631578946	0.6736842105263158	0.042105263157894736	0.010526315789473684	0.08947368421052632	0.8210526315789474	0.07894736842105263	0.0	0.005263157894736842	0.0	0.005263157894736842	0.08947368421052632	0.0	0.9105263157894737	0.0	0.08947368421052632	0.0	0.0	1.0
1558	170316403002	2.03	62143.0	494	1016.0	221	0.6863136863136863	0.3136863136863137	0.0	0.4473684210526316	1001	280	38713.46428571428	37800.0	187352.2857142857	178525.0	3871.3464285714285	3780.0	1546.8945454545456	1206.0	76.75714285714285	78.0	0.0	0.007142857142857143	0.18571428571428572	0.4107142857142857	0.017857142857142856	0.07857142857142857	0.007142857142857143	0.007142857142857143	0.0	0.0	0.0	0.2357142857142857	0.017857142857142856	0.010714285714285714	0.010714285714285714	0.010714285714285714	0.0	0.0	0.225	0.65	0.10714285714285714	0.0	0.017857142857142856	0.9285714285714286	0.04642857142857143	0.007142857142857143	0.0	0.0	0.0	0.017857142857142856	0.0	0.9785714285714285	0.0035714285714285713	0.017857142857142856	0.0	0.0	1.0
